User ID,User NameUser Score,Number of Attempts,Points Possible,Time Spent,Preview Submission
4354986,Software Engineering Studio / CSS / STEM / UW Bothell,,,,,https://canvas.uw.edu/courses/1521081/quizzes/1820857/submissions/30167822
4354983,Software Engineering Studio Teaching Tools,,,,,https://canvas.uw.edu/courses/1521081/quizzes/1820857/submissions/30187198
